Stage,E2
CF,0.28
CF,0.28
CF,0.28
CF,0.28
CF,0.28
CF,0.28
CF,0.28
CF,0.28
CF,0.245572875
CF,0.373560459
CF,0.28
CF,0.352076738
CF,1.520487137
CF,0.277407365
CF,1.908150387
CF,0.28
CF,0.28
CF,0.639880403
CF,0.28
CF,0.318691786
CF,0.474338731
CF,0.28
TF,0.28
TF,0.28
TF,0.28
TF,0.28
TF,0.28
TF,0.28
TF,0.553044619
TF,0.28
TF,2.798798248
TF,0.700031867
TF,0.37999967
TF,0.28
TF,0.28
TF,1.154810751
TF,0.323999398
TF,0.310915893
TF,0.466666667
TF,0.28
TP,0.28
TP,0.28
TP,0.28
TP,0.28
TP,0.28
TP,0.28
