,,amh,ctnnb1,cyp11c1,cyp19a1a,dmrt1,dnmt1,dnmt3aa,fancl,foxl2a,jarid2b,kdm6bb,nr3c1,nr3c2,pou5f3,sox9a,znrf3
TF,20181121_4110-hyb01_4110-01_01.RCC,120.88,6044.77,16.05,2071.9,399.46,31012.38,128.43,551.5,1485.46,4001.2,1476.02,990.62,110.49,38918.46,135.04,1771.6
CF,20181121_4110-hyb01_4110-10_10.RCC,29.22,3909.45,18.26,1663.48,100.43,25266.23,40.17,644.57,1028.03,3089.58,1029.86,792.48,111.39,36096.18,180.77,1502.79
CF,20181121_4110-hyb01_4110-11_11.RCC,42.05,4650.27,1.83,273.65,432.12,41469.66,26.82,991,168.21,5587.03,1370.09,369.95,70.09,51656.97,260.85,1618.76
CF,20181123_4110-hyb04_4110-42_06.RCC,78.89,5176.05,5.99,819.9,89.88,36473.02,28.96,856.85,263.65,5148.09,1196.39,372.5,75.9,58105.96,361.51,1493.99
CF,20181123_4110-hyb05_4110-52_04.RCC,79.64,4698.71,5.22,595.34,744.17,32146.83,41.78,626.67,276.78,7338.56,1420.45,425.61,75.72,49625.68,374.7,1588.87
CF,20181123_4110-hyb05_4110-54_06.RCC,85.7,6484.71,2.26,205.22,330.38,33643.58,46.23,706.99,379.99,5264.67,1346.33,411.57,66.53,48562.58,292.04,1908.99
CF,20181123_4110-hyb05_4110-55_07.RCC,75.73,5883.17,15.56,1161.9,2011.54,25769.32,50.83,523.89,352.72,4946.38,1058.16,389.03,57.06,36556.33,289.44,1072.68
CF,20181123_4110-hyb05_4110-56_08.RCC,71.18,7303.28,5.34,374.6,324.77,37435.52,35.59,1000.11,263.37,6054.92,1372.03,372.82,56.06,47634.13,484.04,1743.07
CF,20181123_4110-hyb05_4110-57_09.RCC,80.95,8217.13,4.32,636.82,678.91,30608.33,25.9,754.47,267.68,5442.11,1179.73,344.31,38.86,40552.43,465.2,1325.45
TF,20181123_4110-hyb05_4110-58_10.RCC,55.12,5724.18,2.18,87.76,732.57,41688.86,29.74,952.34,164.65,7443.17,1548.55,506.27,84.14,51933.2,287.95,1671.85
CF,20181123_4110-hyb05_4110-59_11.RCC,106.07,8822.05,4.24,813.19,246.79,39556.39,48.08,954.61,325.28,7008.99,1695.68,432.05,67.88,52184.88,400.23,1436.87
TF,20181123_4110-hyb05_4110-60_12.RCC,49.87,4713.8,1,231.73,458.57,38650.04,38.13,1420.69,110.49,7294.12,1585.93,302.13,64.53,49615.67,405.77,1276.96
CF,20190123_4110-hyb06_4110-61_01.RCC,47.22,8563.71,1.21,579.95,223.99,36279.23,47.22,816.05,207.04,6469.09,1244.66,323.27,93.23,56084.86,961.34,1359.68
TF,20190123_4110-hyb06_4110-62_02.RCC,74.29,8720.93,1.2,295.97,399.02,44145.09,32.35,889.11,117.43,6171.04,1266.56,414.6,61.11,58044.9,442.16,1659.59
CF,20190123_4110-hyb06_4110-63_03.RCC,71.14,8298.53,1.06,826.03,344,33147.38,32.91,845.14,260.13,4999.71,1274.08,439.56,59.46,49020.33,454.42,1337.79
TF,20190123_4110-hyb06_4110-64_04.RCC,156.1,7758.86,9.46,44.94,1307.93,35293.87,40.21,750.93,229.42,5316.85,1070.23,447.01,70.95,46690.32,281.45,1680.44
CF,20190123_4110-hyb06_4110-65_05.RCC,38.12,7536.36,1,333.56,438.4,35714.87,38.12,920.78,197.21,5613.42,1319.6,419.34,54.98,49339.7,256.59,1487.48
TF,20190123_4110-hyb06_4110-66_06.RCC,85.88,4898.51,9.37,64.8,352.91,35972.92,35.92,917.4,168.65,4141.17,1179.73,441.13,60.9,46922.36,227.2,1205.5
CF,20190123_4110-hyb06_4110-67_07.RCC,40.09,6887.91,1.11,602.48,198.23,33133.23,30.07,510.05,201.57,5086.03,1168.22,397.57,83.52,48179.71,159.25,1351.97
TF,20190123_4110-hyb06_4110-68_08.RCC,93.19,6911.73,1.57,70.48,361.8,37731.01,25.84,705.58,194.99,4907.75,1072.86,445.59,57.17,53000.09,373.54,1584.23
CF,20190123_4110-hyb06_4110-69_09.RCC,58.42,4899.7,3.16,393.97,368.7,36116.95,41.84,817.93,164.22,5079.71,1233.22,349.75,53.69,48974.92,341.07,1702.18
TF,20190123_4110-hyb06_4110-70_10.RCC,113.28,7486.94,8.71,358.73,627.42,30890.35,42.12,458.95,360.19,3850.22,971.63,556.26,79.88,39847.09,238.19,1904.05
CF,20190123_4110-hyb06_4110-71_11.RCC,41.8,4036.73,6.33,417.99,160.86,33502.21,29.13,535.78,155.79,4221.66,1126.03,405.32,43.07,53556.68,354.65,1687.14
TF,20190123_4110-hyb06_4110-72_12.RCC,67.46,6962.72,1.8,474.91,230.26,34084.12,53.07,709.67,280.63,4710.47,1443.63,615.23,65.66,48833.45,153.81,1868.18
CF,20190123_4110-hyb07_4110-73_01.RCC,57.25,6119.94,2.04,554.13,670.68,33269.13,43.96,1274.9,280.13,5607.73,1295.35,352.72,63.39,49285.67,192.21,1704.3
CF,20190123_4110-hyb07_4110-75_03.RCC,61.6,7416.44,2.37,1503.19,1099.26,35041.22,47.38,818.52,386.16,6102.78,1520.96,387.35,74.63,52204.1,324.57,2037.42
TF,20190123_4110-hyb07_4110-76_04.RCC,86.18,4561.48,3.02,423.34,355.3,30486.49,61.99,636.52,647.1,4640.1,1330.5,453.58,80.13,42692.27,284.24,1235.24
CF,20190123_4110-hyb07_4110-77_05.RCC,80.96,4062.36,4.83,319,569.12,32625.77,29,610.2,308.12,4227.9,1163.61,320.2,60.42,36731.63,111.17,1569.6
TF,20190123_4110-hyb07_4110-78_06.RCC,78.22,7734.91,2.44,624.95,514.95,33608.95,52.96,539.4,264.81,5663.69,1288.2,461.99,68.44,44991.73,320.22,1397.39
CF,20190123_4110-hyb07_4110-79_07.RCC,33.39,4523.78,5.08,553.04,205.4,31784.02,53.71,889.8,640.14,4615.23,1481.31,599.49,65.32,35203.89,161.85,1751.3
TF,20190123_4110-hyb07_4110-80_08.RCC,71.32,4585.1,1.78,732.83,133.73,31514.43,54.38,1020.79,787.21,5141.41,1502.22,859.43,92.72,42242.11,146.21,1755.41
CF,20190123_4110-hyb07_4110-81_09.RCC,45,5448.52,1,521.83,450,37508.77,50.19,671.55,578.08,5524.67,1535.21,732.12,134.14,48499.27,271.73,1811.27
TF,20190123_4110-hyb07_4110-82_10.RCC,92.2,4479.74,3.8,407.77,916.29,34151.69,31.37,890.62,272.8,4820.97,1505.6,453.39,60.83,45749.76,176.79,1739.43
TF,20190123_4110-hyb07_4110-83_11.RCC,69.27,3923.65,1.9,220.14,815.09,32022.13,25.62,705.02,323.57,4303.21,1445.16,476.34,46.5,45494.44,246.71,1390.12
