Treatment,hsd11b2,,Mean
CFD0,103.5481942,,109.7673049
CFD0,109.1453939,,
CFD0,150.1915249,,
CFD0,75.56219575,,
CFD0,55.03913023,,
CFD0,165.1173907,,
TFD1,636.2150308,,406.4175536
TFD1,276.0635214,,
TFD1,306.9741087,,
TFD2,271.7999921,,244.9308192
TFD2,187.5952887,,
TFD2,275.3971769,,
TFD3,120.4862649,,206.9303788
TFD3,142.2885414,,
TFD3,358.01633,,
TFD4,187.4564855,,400.4306079
TFD4,613.4047302,,
TFD5,143.291345,,315.1807347
TFD5,386.6903419,,
TFD5,415.5605171,,
TFD6,341.6264374,,283.4139723
TFD6,182.2857483,,
TFD6,326.3297313,,
TFD7,198.1520936,,200.0392564
TFD7,161.3524191,,
TFD7,240.6132565,,
TPD7,48.1226513,,
TPD7,180.0511084,,
TPD7,101.975849,,
TPD7,270.8733489,,
TPD7,85.24543626,,
TPD7,141.810165,,
